sentence,hate,category
ঃ ভাইয়া হাসতে হাসতে আমার পেটে ব্যথা হয়ে গেছে। ����,0,personal
":: খালেদা জিয়ার ৩৯ তম জন্মদিন ! ১৯৭৫ সালের ১৫ অগাস্ট যদি জাতির জনককে হত্যা করা না হতো; তাহলে আজকের এই কথিত খালেদা জিয়ার জন্ম হতো না। অনাম্নী থেকে যেত অখ্যাত এক হাউজ ওয়াইফ হিসেবে। সেইদিক থেকে ১৯৭৫ সালের ১৫ অগাস্ট অষ্টম শ্রেণী পর্যন্ত পড়া এই কিচেন মেডের হঠাত জন্মদিন। কৃতঘ্ন খন্দকার মুশতাক রাশির দলদাসেরা এই- ""কিচেন মেড কেন রাজরাণী"", জন্মদিন যাত্রায় দলে দলে যোগ দিন। https://www.facebook.com/photo.php?fbid=10203908210322032&set=a.1549967065497.2082905.1124712218&type=1&relevant_count=1",0,"calltoviolence, political"
! মজা পাইলাম।। শেখ হাসিনার পা চাটা গোলাম।।��,0,"entertainment, political"
? আমি একজন চুলের নায়িকা কে হাঁটতে দেখলাম। �,0,"celebrity, personal"
? এই খেলা ত আমি ছুডো থাকতে খেলছি���,0,"personal, sports"
? খাসি এর ইংলিশ ????,0,"meme, tiktok and others"
? মজা আছে এখানে।,0,entertainment
? হাহাহা,0,"meme, tiktok and others"
।জন্য জস্কক্স মিচকেও,0,"meme, tiktok and others"
"।সুখে থাকলে ভুতে কিলায়।আছো মিয়া কম্বলের তলে ।খালি খালি মানুষের গালি খাওয়ার জন্য ,কম্বলের তল থেকে উকি মারো",0,slander
""" যাই হোক, আগস্ট মাস বাংলাদেশের জন্য একটি অশুভ মাস। "" - একজন বিজ্ঞান মনস্ক শিক্ষক হিসেবে আপনার মুখে এ কথা মানায় না... একজন হিন্দু পুরুহিতের মুখে মানায়",0,religious
"""""""""আমাদের এই দেশটির জন্য এককভাবে অবদান রেখেছিলেন বঙ্গবন্ধু শেখ মুজিবুর রহমান।"""""" তা জনাব আপনার দৃস্টিতে উনি একাই সবটুকু করেছেন!!!! সে জন্যই মনে হয় সামর্থ থাকা সত্যেও নিজে মুক্তি যুদ্ধে যাননি?? যুদ্ধের সময় গর্তে লুকিয়ে ছিলেন, আর এখন চেতনার ফেরিওয়ালা সাজছেন। ভন্ডামির একটা সীমা থাকা উচিত। বিদেশি ছিনেমার বাংলা অনুবাদ করে আবার লেখক সাজছেন। আপনার কান্ডকারখানা দেখে চোরও লজ্জা পায়।",0,calltoviolence
"""আচ্ছা তোমরা যারা এখানে স্যারের সমালোচনা করতেছো, তোমাদের মাঝে কি ভদ্রতা বলতে কিছুই নাই, নাকি মা-বাবা/শিক্ষকরা শিখান নাই.......!!!"" �����",0,"meme, tiktok and others"
"""আমি রাজাকার"" বলাতেই মন বিষিয়ে গেল?? 'ব্যঙ্গার্থ' শব্দটা কি মাথা থেকে বের হয়ে গিয়েছিল? নাকি ইচ্ছে করেই বুঝেও না বুঝার ভান ধরে থাকেন কে জানে! এত বড় একজন বিজ্ঞানী আর উনি নাকি সার্কাজম বোঝে না �",0,personal
"""আমি রাজাকার"" লেখা নিয়ে আন্দোলন করলে কবির মনে আঘাত লাগে কিন্তু কেউ রাজাকারের বাচ্ছা বলে গালি দেয়ার সময় কবি নিরব।। Apnk onk respect kortam kintu apnio polti dilen...",0,"personal, slander"
"""এই ধরনের পোস্টের জন্যই মুড়ির ডিব্বাটা সাথে রাখতে হয়,কমেন্ট পড়তে পড়তে চাবানো যায়"" ���",0,"meme, tiktok and others"
"""এতোদিন পর ঘুম ভাঙলো"" টাইপ কথা যারা বলছেন, তারা কি কখনো খেয়াল করেছেন যে স্যারের পেজে প্রতি দুই সপ্তাহ পর পর বৃহস্পতিবার রাত ১২ টার পর, অর্থাৎ শুক্রবার শুরু হওয়ার পরপর ১ টা করে লেখা পোস্ট হয়? আপনারা কি জানেন যে স্যার ফেসবুক ইউজ করেন না? জানেন কি, তার লেখাগুলো প্রতি দুই সপ্তাহ পর তার ছাত্ররা একটা নির্দিষ্ট সময়ে এই পেজে পোস্ট করে? তো, স্যার যেহেতু কোনো ফেসবুক সেলিব্রিটি নন এবং তার পেজে শুধু এই একটা নির্দিষ্ট সময়েই লেখা পোস্ট করা হয় এবং তিনি ফেসবুক ইউজ করেন না বলে শুধু পত্রিকার খবরগুলোই জানেন, সেহেতু আপনাদের প্রশ্নগুলো কি যৌক্তিক?",0,celebrity
"""এসো এসো গর্তে এসো বাস করে যাও চারটি দিন, আদর করে শিকেয় তুলে রাখব তোমায় রাত্রিদিন""",0,"meme, tiktok and others"
